"journal","data","values"
"Advances in Fuzzy Systems","CiteScore","3.500"
"Advances in Fuzzy Systems","Journal Citation Indicator","-"
"Advances in Fuzzy Systems","Impact Factor","-"
"Advances in Hematology","APC","$820"
"Advances in Hematology","Acceptance rate","22%"
"Advances in Hematology","Submission to final decision","92 days"
"Advances in Hematology","Acceptance to publication","22 days"
"Advances in Hematology","CiteScore","3.500"
"Advances in Hematology","Journal Citation Indicator","0.410"
"Advances in Hematology","Impact Factor","1.7"
"Advances in High Energy Physics","APC","$1550"
"Advances in High Energy Physics","Acceptance rate","12%"
"Advances in High Energy Physics","Submission to final decision","83 days"
"Advances in High Energy Physics","Acceptance to publication","30 days"
"Advances in High Energy Physics","CiteScore","8.000"
"Advances in High Energy Physics","Journal Citation Indicator","0.680"
"Advances in High Energy Physics","Impact Factor","2.9"
"Advances in Human-Computer Interaction","APC","$950"
"Advances in Human-Computer Interaction","Acceptance rate","31%"
"Advances in Human-Computer Interaction","Submission to final decision","70 days"
"Advances in Human-Computer Interaction","Acceptance to publication","26 days"
"Advances in Human-Computer Interaction","CiteScore","3.300"
"Advances in Human-Computer Interaction","Journal Citation Indicator","-"
"Advances in Human-Computer Interaction","Impact Factor","-"
"Advances in Materials Science and Engineering","APC","$2550"
"Advances in Materials Science and Engineering","Acceptance rate","21%"
"Advances in Materials Science and Engineering","Submission to final decision","79 days"
"Advances in Materials Science and Engineering","Acceptance to publication","21 days"
"Advances in Materials Science and Engineering","CiteScore","1.900"
"Advances in Materials Science and Engineering","Journal Citation Indicator","0.430"
"Advances in Materials Science and Engineering","Impact Factor","1.2"
"Advances in Mathematical Physics","APC","$2450"
"Advances in Medicine","APC","$820"
"Advances in Medicine","Acceptance rate","14%"
"Advances in Medicine","Submission to final decision","107 days"
"Advances in Medicine","Acceptance to publication","21 days"
"Advances in Medicine","CiteScore","4.600"
"Advances in Medicine","Journal Citation Indicator","0.490"
"Advances in Medicine","Impact Factor","2.9"
"Advances in Meteorology","APC","$1550"
"Advances in Meteorology","Acceptance rate","27%"
"Advances in Meteorology","Submission to final decision","48 days"
"Advances in Meteorology","Acceptance to publication","21 days"
"Advances in Meteorology","CiteScore","0.400"
"Advances in Meteorology","Journal Citation Indicator","0.220"
"Advances in Meteorology","Impact Factor","1.4"
"Advances in Multimedia","APC","$950"
"Advances in Multimedia","Acceptance rate","-"
"Advances in Multimedia","Submission to final decision","-"
"Advances in Multimedia","Acceptance to publication","-"
"Advances in Multimedia","CiteScore","3.500"
"Advances in Multimedia","Journal Citation Indicator","0.170"
"Advances in Multimedia","Impact Factor","1.2"
"Advances in Operations Research","APC","$1080"
"Advances in Operations Research","Acceptance rate","16%"
"Advances in Operations Research","Submission to final decision","70 days"
"Advances in Operations Research","Acceptance to publication","21 days"
"Advances in Operations Research","CiteScore","2.500"
"Advances in Operations Research","Journal Citation Indicator","0.610"
"Advances in Operations Research","Impact Factor","1.3"
"Advances in Orthopedics","APC","$950"
"Advances in Orthopedics","Acceptance rate","13%"
"Advances in Orthopedics","Submission to final decision","84 days"
"Advances in Orthopedics","Acceptance to publication","19 days"
"Advances in Orthopedics","CiteScore","5.100"
"Advances in Orthopedics","Journal Citation Indicator","0.540"
"Advances in Orthopedics","Impact Factor","2.8"
"Advances in Pharmacological and Pharmaceutical Sciences","APC","$950"
"Advances in Pharmacological and Pharmaceutical Sciences","Acceptance rate","25%"
"Advances in Pharmacological and Pharmaceutical Sciences","Submission to final decision","105 days"
"Advances in Pharmacological and Pharmaceutical Sciences","Acceptance to publication","24 days"
"Advances in Pharmacological and Pharmaceutical Sciences","CiteScore","4.800"
"Advances in Pharmacological and Pharmaceutical Sciences","Journal Citation Indicator","0.400"
"Advances in Pharmacological and Pharmaceutical Sciences","Impact Factor","3.1"
"Advances in Polymer Technology","APC","$2060"
"Advances in Preventive Medicine","APC","$820"
"Advances in Preventive Medicine","Acceptance rate","7%"
"Advances in Preventive Medicine","Submission to final decision","140 days"
"Advances in Preventive Medicine","Acceptance to publication","22 days"
"Advances in Preventive Medicine","CiteScore","4.700"
"Advances in Preventive Medicine","Journal Citation Indicator","0.760"
"Advances in Preventive Medicine","Impact Factor","4.1"
"Advances in Public Health","APC","$950"
"Advances in Public Health","Acceptance rate","-"
"Advances in Public Health","Submission to final decision","-"
"Advances in Public Health","Acceptance to publication","-"
"Advances in Public Health","CiteScore","6.200"
"Advances in Public Health","Journal Citation Indicator","0.560"
"Advances in Public Health","Impact Factor","2.6"
"Advances in Tribology","APC","$950"
"Advances in Tribology","Acceptance rate","-"
"Advances in Tribology","Submission to final decision","-"
"Advances in Tribology","Acceptance to publication","-"
"Advances in Tribology","CiteScore","2.400"
"Advances in Tribology","Journal Citation Indicator","0.440"
"Advances in Tribology","Impact Factor","1.4"
"Advances in Urology","APC","$950"
"Advances in Urology","Acceptance rate","16%"
"Advances in Urology","Submission to final decision","96 days"
"Advances in Urology","Acceptance to publication","19 days"
"Advances in Urology","CiteScore","2.600"
"Advances in Urology","Journal Citation Indicator","0.430"
"Advances in Urology","Impact Factor","2.2"
"Advances in Virology","APC","$950"
"Advances in Virology","Acceptance rate","13%"
"Advances in Virology","Submission to final decision","132 days"
"Advances in Virology","Acceptance to publication","14 days"
"Advances in Virology","CiteScore","4.100"
"Advances in Virology","Journal Citation Indicator","0.390"
"Advances in Virology","Impact Factor","1.7"
"AIDS Research and Treatment","APC","$950"
"AIDS Research and Treatment","Acceptance rate","13%"
"AIDS Research and Treatment","Submission to final decision","126 days"
"AIDS Research and Treatment","Acceptance to publication","23 days"
"AIDS Research and Treatment","CiteScore","4.700"
"AIDS Research and Treatment","Journal Citation Indicator","0.590"
"AIDS Research and Treatment","Impact Factor","3.2"
"Analytical Cellular Pathology","APC","$2060"
"Analytical Cellular Pathology","Acceptance rate","13%"
"Analytical Cellular Pathology","Submission to final decision","72 days"
"Analytical Cellular Pathology","Acceptance to publication","22 days"
"Analytical Cellular Pathology","CiteScore","4.200"
"Analytical Cellular Pathology","Journal Citation Indicator","0.920"
"Analytical Cellular Pathology","Impact Factor","2.4"
"Andrologia","APC","$2570"
"Andrologia","Acceptance rate","-"
"Andrologia","Submission to final decision","-"
"Andrologia","Acceptance to publication","-"
"Andrologia","CiteScore","3.900"
"Andrologia","Journal Citation Indicator","0.470"
"Andrologia","Impact Factor","2.9"
"Anemia","APC","$950"
"Anemia","Acceptance rate","16%"
"Anemia","Submission to final decision","66 days"
"Anemia","Acceptance to publication","17 days"
"Anemia","CiteScore","2.300"
"Anemia","Journal Citation Indicator","0.400"
"Anemia","Impact Factor","1.4"
"Anesthesiology Research and Practice","APC","$950"
"Anesthesiology Research and Practice","Acceptance rate","17%"
"Anesthesiology Research and Practice","Submission to final decision","110 days"
"Anesthesiology Research and Practice","Acceptance to publication","16 days"
"Anesthesiology Research and Practice","CiteScore","4.700"
"Anesthesiology Research and Practice","Journal Citation Indicator","0.460"
"Anesthesiology Research and Practice","Impact Factor","2.2"
"Applied and Environmental Soil Science","APC","$950"
"Applied and Environmental Soil Science","Acceptance rate","20%"
"Applied and Environmental Soil Science","Submission to final decision","55 days"
"Applied and Environmental Soil Science","Acceptance to publication","28 days"
"Applied and Environmental Soil Science","CiteScore","2.000"
"Applied and Environmental Soil Science","Journal Citation Indicator","0.380"
"Applied and Environmental Soil Science","Impact Factor","2.2"
"Applied Bionics and Biomechanics","APC","$1750"
"Applied Bionics and Biomechanics","Acceptance rate","11%"
"Applied Bionics and Biomechanics","Submission to final decision","85 days"
"Applied Bionics and Biomechanics","Acceptance to publication","26 days"
"Applied Bionics and Biomechanics","CiteScore","3.400"
"Applied Bionics and Biomechanics","Journal Citation Indicator","0.460"
"Applied Bionics and Biomechanics","Impact Factor","2.9"
"Applied Computational Intelligence and Soft Computing","APC","$950"
"Applied Computational Intelligence and Soft Computing","Acceptance rate","37%"
"Applied Computational Intelligence and Soft Computing","Submission to final decision","61 days"
"Applied Computational Intelligence and Soft Computing","Acceptance to publication","22 days"
"Applied Computational Intelligence and Soft Computing","CiteScore","6.300"
"Applied Computational Intelligence and Soft Computing","Journal Citation Indicator","1.100"
"Applied Computational Intelligence and Soft Computing","Impact Factor","3.5"
"Aquaculture Nutrition","APC","$2240"
"Aquaculture Nutrition","Acceptance rate","23%"
"Aquaculture Nutrition","Submission to final decision","75 days"
"Aquaculture Nutrition","Acceptance to publication","24 days"
"Aquaculture Nutrition","CiteScore","3.500"
"Aquaculture Nutrition","Journal Citation Indicator","0.680"
"Aquaculture Nutrition","Impact Factor","2.0"
"Aquaculture Research","APC","$2570"
"Aquaculture Research","Acceptance rate","-"
"Aquaculture Research","Submission to final decision","-"
"Aquaculture Research","Acceptance to publication","-"
"Aquaculture Research","CiteScore","5.400"
"Aquaculture Research","Journal Citation Indicator","0.480"
"Aquaculture Research","Impact Factor","2.4"
"Archaea","APC","$1550"
"Archaea","Acceptance rate","30%"
"Archaea","Submission to final decision","66 days"
"Archaea","Acceptance to publication","22 days"
"Archaea","CiteScore","5.100"
"Archaea","Journal Citation Indicator","0.880"
"Archaea","Impact Factor","2.8"
"Australian Journal of Grape and Wine Research","APC","$1350"
"Autism Research and Treatment","APC","$820"
"Autism Research and Treatment","Acceptance rate","-"
"Autism Research and Treatment","Submission to final decision","-"
"Autism Research and Treatment","Acceptance to publication","-"
"Autism Research and Treatment","CiteScore","4.600"
"Autism Research and Treatment","Journal Citation Indicator","0.400"
"Autism Research and Treatment","Impact Factor","4.0"
"Autoimmune Diseases","APC","$950"
"Autoimmune Diseases","Acceptance rate","11%"
"Autoimmune Diseases","Submission to final decision","111 days"
"Autoimmune Diseases","Acceptance to publication","20 days"
"Autoimmune Diseases","CiteScore","5.000"
"Autoimmune Diseases","Journal Citation Indicator","0.680"
"Autoimmune Diseases","Impact Factor","2.8"
"Behavioural Neurology","APC","$1550"
"Behavioural Neurology","Acceptance rate","11%"
"Behavioural Neurology","Submission to final decision","86 days"
"Behavioural Neurology","Acceptance to publication","21 days"
"Behavioural Neurology","CiteScore","4.000"
"Behavioural Neurology","Journal Citation Indicator","0.580"
"Behavioural Neurology","Impact Factor","3.0"
"Biochemistry Research International","APC","$950"
"Biochemistry Research International","Acceptance rate","20%"
"Biochemistry Research International","Submission to final decision","100 days"
"Biochemistry Research International","Acceptance to publication","28 days"
"Biochemistry Research International","CiteScore","4.200"
"Biochemistry Research International","Journal Citation Indicator","1.000"
"Biochemistry Research International","Impact Factor","3.8"
"Bioinorganic Chemistry and Applications","APC","$1550"
"Bioinorganic Chemistry and Applications","Acceptance rate","16%"
"Bioinorganic Chemistry and Applications","Submission to final decision","80 days"
"Bioinorganic Chemistry and Applications","Acceptance to publication","21 days"
"Bioinorganic Chemistry and Applications","CiteScore","5.300"
"Bioinorganic Chemistry and Applications","Journal Citation Indicator","-"
"Bioinorganic Chemistry and Applications","Impact Factor","-"
"BioMed Research International","APC","$2550"
"BioMed Research International","Acceptance rate","13%"
"BioMed Research International","Submission to final decision","122 days"
"BioMed Research International","Acceptance to publication","25 days"
"BioMed Research International","CiteScore","4.000"
"BioMed Research International","Journal Citation Indicator","0.550"
"BioMed Research International","Impact Factor","2.7"
"Canadian Journal of Gastroenterology and Hepatology","APC","$2450"
"Canadian Journal of Gastroenterology and Hepatology","Acceptance rate","16%"
"Canadian Journal of Gastroenterology and Hepatology","Submission to final decision","99 days"
"Canadian Journal of Gastroenterology and Hepatology","Acceptance to publication","20 days"
"Canadian Journal of Gastroenterology and Hepatology","CiteScore","3.700"
"Canadian Journal of Gastroenterology and Hepatology","Journal Citation Indicator","0.480"
"Canadian Journal of Gastroenterology and Hepatology","Impact Factor","2.8"
"Canadian Journal of Infectious Diseases and Medical Microbiology","APC","$2060"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Acceptance rate","13%"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Submission to final decision","138 days"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Acceptance to publication","20 days"
"Canadian Journal of Infectious Diseases and Medical Microbiology","CiteScore","3.200"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Journal Citation Indicator","0.460"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Impact Factor","2.2"
"Canadian Respiratory Journal","APC","$2060"
"Canadian Respiratory Journal","Acceptance rate","8%"
"Canadian Respiratory Journal","Submission to final decision","101 days"
"Canadian Respiratory Journal","Acceptance to publication","24 days"
"Canadian Respiratory Journal","CiteScore","3.600"
"Canadian Respiratory Journal","Journal Citation Indicator","0.400"
"Canadian Respiratory Journal","Impact Factor","2.1"
"Cardiology Research and Practice","APC","$2450"
"Cardiology Research and Practice","Acceptance rate","13%"
"Cardiology Research and Practice","Submission to final decision","84 days"
"Cardiology Research and Practice","Acceptance to publication","21 days"
"Cardiology Research and Practice","CiteScore","4.500"
"Cardiology Research and Practice","Journal Citation Indicator","0.670"
"Cardiology Research and Practice","Impact Factor","3.1"
"Cardiovascular Therapeutics","APC","$2060"
"Cardiovascular Therapeutics","Acceptance rate","12%"
"Cardiovascular Therapeutics","Submission to final decision","97 days"
"Cardiovascular Therapeutics","Acceptance to publication","15 days"
"Cardiovascular Therapeutics","CiteScore","0.900"
"Cardiovascular Therapeutics","Journal Citation Indicator","-"
"Cardiovascular Therapeutics","Impact Factor","-"
"Case Reports in Anesthesiology","APC","$750"
"Case Reports in Anesthesiology","Acceptance rate","17%"
"Case Reports in Anesthesiology","Submission to final decision","94 days"
"Case Reports in Anesthesiology","Acceptance to publication","18 days"
"Case Reports in Anesthesiology","CiteScore","-"
"Case Reports in Anesthesiology","Journal Citation Indicator","0.140"
"Case Reports in Anesthesiology","Impact Factor","0.6"
"Case Reports in Cardiology","APC","$750"
"Case Reports in Cardiology","Acceptance rate","22%"
"Case Reports in Cardiology","Submission to final decision","117 days"
"Case Reports in Cardiology","Acceptance to publication","19 days"
"Case Reports in Cardiology","CiteScore","1.700"
"Case Reports in Cardiology","Journal Citation Indicator","-"
"Case Reports in Cardiology","Impact Factor","-"
"Case Reports in Critical Care","APC","$725"
"Case Reports in Critical Care","Acceptance rate","24%"
"Case Reports in Critical Care","Submission to final decision","94 days"
"Case Reports in Critical Care","Acceptance to publication","19 days"
"Case Reports in Critical Care","CiteScore","1.300"
"Case Reports in Critical Care","Journal Citation Indicator","0.330"
"Case Reports in Critical Care","Impact Factor","0.8"
"Case Reports in Dentistry","APC","$750"
"Case Reports in Dentistry","Acceptance rate","18%"
"Case Reports in Dentistry","Submission to final decision","119 days"
"Case Reports in Dentistry","Acceptance to publication","18 days"
"Case Reports in Dentistry","CiteScore","1.500"
"Case Reports in Dentistry","Journal Citation Indicator","-"
"Case Reports in Dentistry","Impact Factor","-"
"Case Reports in Dermatological Medicine","APC","$750"
"Case Reports in Emergency Medicine","APC","$750"
"Case Reports in Emergency Medicine","Acceptance rate","21%"
"Case Reports in Emergency Medicine","Submission to final decision","121 days"
"Case Reports in Emergency Medicine","Acceptance to publication","14 days"
"Case Reports in Emergency Medicine","CiteScore","1.700"
"Case Reports in Emergency Medicine","Journal Citation Indicator","0.200"
"Case Reports in Emergency Medicine","Impact Factor","1.1"
"Case Reports in Endocrinology","APC","$750"
"Case Reports in Endocrinology","Acceptance rate","15%"
"Case Reports in Endocrinology","Submission to final decision","98 days"
"Case Reports in Endocrinology","Acceptance to publication","13 days"
"Case Reports in Endocrinology","CiteScore","-"
"Case Reports in Endocrinology","Journal Citation Indicator","0.120"
"Case Reports in Endocrinology","Impact Factor","0.7"
"Case Reports in Gastrointestinal Medicine","APC","$750"
"Case Reports in Gastrointestinal Medicine","Acceptance rate","21%"
"Case Reports in Gastrointestinal Medicine","Submission to final decision","81 days"
"Case Reports in Gastrointestinal Medicine","Acceptance to publication","25 days"
"Case Reports in Gastrointestinal Medicine","CiteScore","-"
"Case Reports in Gastrointestinal Medicine","Journal Citation Indicator","-"
"Case Reports in Gastrointestinal Medicine","Impact Factor","-"
"Case Reports in Genetics","APC","$750"
"Case Reports in Genetics","Acceptance rate","26%"
"Case Reports in Genetics","Submission to final decision","92 days"
"Case Reports in Genetics","Acceptance to publication","16 days"
"Case Reports in Genetics","CiteScore","-"
"Case Reports in Genetics","Journal Citation Indicator","0.160"
"Case Reports in Genetics","Impact Factor","0.7"
"Case Reports in Hematology","APC","$750"
"Case Reports in Hematology","Acceptance rate","22%"
"Case Reports in Hematology","Submission to final decision","115 days"
"Case Reports in Hematology","Acceptance to publication","39 days"
"Case Reports in Hematology","CiteScore","-"
"Case Reports in Hematology","Journal Citation Indicator","-"
"Case Reports in Hematology","Impact Factor","-"
"Case Reports in Hepatology","APC","$750"
"Case Reports in Hepatology","Acceptance rate","-"
"Case Reports in Hepatology","Submission to final decision","-"
"Case Reports in Hepatology","Acceptance to publication","-"
"Case Reports in Hepatology","CiteScore","1.900"
"Case Reports in Hepatology","Journal Citation Indicator","0.220"
"Case Reports in Hepatology","Impact Factor","1.0"
"Case Reports in Immunology","APC","$750"
"Case Reports in Immunology","Acceptance rate","24%"
"Case Reports in Immunology","Submission to final decision","101 days"
"Case Reports in Immunology","Acceptance to publication","15 days"
"Case Reports in Immunology","CiteScore","-"
"Case Reports in Immunology","Journal Citation Indicator","0.190"
"Case Reports in Immunology","Impact Factor","1.1"
"Case Reports in Infectious Diseases","APC","$750"
"Case Reports in Infectious Diseases","Acceptance rate","12%"
"Case Reports in Infectious Diseases","Submission to final decision","114 days"
"Case Reports in Infectious Diseases","Acceptance to publication","17 days"
"Case Reports in Infectious Diseases","CiteScore","1.300"
"Case Reports in Infectious Diseases","Journal Citation Indicator","0.200"
"Case Reports in Infectious Diseases","Impact Factor","0.8"
"Case Reports in Medicine","APC","$750"
"Case Reports in Medicine","Acceptance rate","21%"
"Case Reports in Medicine","Submission to final decision","113 days"
"Case Reports in Medicine","Acceptance to publication","25 days"
"Case Reports in Medicine","CiteScore","1.500"
"Case Reports in Medicine","Journal Citation Indicator","-"
"Case Reports in Medicine","Impact Factor","-"
"Case Reports in Nephrology","APC","$750"
"Case Reports in Nephrology","Acceptance rate","16%"
"Case Reports in Nephrology","Submission to final decision","178 days"
"Case Reports in Nephrology","Acceptance to publication","17 days"
"Case Reports in Nephrology","CiteScore","-"
"Case Reports in Nephrology","Journal Citation Indicator","0.260"
"Case Reports in Nephrology","Impact Factor","0.9"
"Case Reports in Neurological Medicine","APC","$750"
"Case Reports in Neurological Medicine","Acceptance rate","16%"
"Case Reports in Neurological Medicine","Submission to final decision","130 days"
"Case Reports in Neurological Medicine","Acceptance to publication","15 days"
"Case Reports in Neurological Medicine","CiteScore","1.300"
"Case Reports in Neurological Medicine","Journal Citation Indicator","-"
"Case Reports in Neurological Medicine","Impact Factor","-"
"Case Reports in Obstetrics and Gynecology","APC","$750"
"Case Reports in Obstetrics and Gynecology","Acceptance rate","10%"
"Case Reports in Obstetrics and Gynecology","Submission to final decision","117 days"
"Case Reports in Obstetrics and Gynecology","Acceptance to publication","18 days"
"Case Reports in Obstetrics and Gynecology","CiteScore","-"
"Case Reports in Obstetrics and Gynecology","Journal Citation Indicator","0.150"
"Case Reports in Obstetrics and Gynecology","Impact Factor","0.9"
"Case Reports in Oncological Medicine","APC","$750"
"Case Reports in Oncological Medicine","Acceptance rate","27%"
"Case Reports in Oncological Medicine","Submission to final decision","113 days"
"Case Reports in Oncological Medicine","Acceptance to publication","12 days"
"Case Reports in Oncological Medicine","CiteScore","-"
"Case Reports in Oncological Medicine","Journal Citation Indicator","0.310"
"Case Reports in Oncological Medicine","Impact Factor","0.9"
"Case Reports in Ophthalmological Medicine","APC","$750"
"Case Reports in Ophthalmological Medicine","Acceptance rate","12%"
"Case Reports in Ophthalmological Medicine","Submission to final decision","136 days"
"Case Reports in Ophthalmological Medicine","Acceptance to publication","20 days"
"Case Reports in Ophthalmological Medicine","CiteScore","-"
"Case Reports in Ophthalmological Medicine","Journal Citation Indicator","-"
"Case Reports in Ophthalmological Medicine","Impact Factor","-"
"Case Reports in Orthopedics","APC","$750"
"Case Reports in Orthopedics","Acceptance rate","11%"
"Case Reports in Orthopedics","Submission to final decision","90 days"
"Case Reports in Orthopedics","Acceptance to publication","28 days"
"Case Reports in Orthopedics","CiteScore","-"
"Case Reports in Orthopedics","Journal Citation Indicator","0.260"
"Case Reports in Orthopedics","Impact Factor","0.6"
"Case Reports in Otolaryngology","APC","$750"
"Case Reports in Otolaryngology","Acceptance rate","15%"
"Case Reports in Otolaryngology","Submission to final decision","125 days"
"Case Reports in Otolaryngology","Acceptance to publication","15 days"
"Case Reports in Otolaryngology","CiteScore","-"
"Case Reports in Otolaryngology","Journal Citation Indicator","0.210"
"Case Reports in Otolaryngology","Impact Factor","0.6"
"Case Reports in Pathology","APC","$750"
"Case Reports in Pathology","Acceptance rate","19%"
"Case Reports in Pathology","Submission to final decision","119 days"
"Case Reports in Pathology","Acceptance to publication","13 days"
"Case Reports in Pathology","CiteScore","-"
"Case Reports in Pathology","Journal Citation Indicator","0.300"
"Case Reports in Pathology","Impact Factor","0.9"
"Case Reports in Pediatrics","APC","$750"
"Case Reports in Pediatrics","Acceptance rate","42%"
"Case Reports in Pediatrics","Submission to final decision","42 days"
"Case Reports in Pediatrics","Acceptance to publication","12 days"
"Case Reports in Pediatrics","CiteScore","0.900"
"Case Reports in Pediatrics","Journal Citation Indicator","-"
"Case Reports in Pediatrics","Impact Factor","-"
"Case Reports in Psychiatry","APC","$750"
"Case Reports in Psychiatry","Acceptance rate","-"
"Case Reports in Psychiatry","Submission to final decision","-"
"Case Reports in Psychiatry","Acceptance to publication","-"
"Case Reports in Psychiatry","CiteScore","1.400"
"Case Reports in Psychiatry","Journal Citation Indicator","-"
"Case Reports in Psychiatry","Impact Factor","-"
"Case Reports in Pulmonology","APC","$750"
"Case Reports in Radiology","APC","$750"
"Case Reports in Radiology","Acceptance rate","27%"
"Case Reports in Radiology","Submission to final decision","128 days"
"Case Reports in Radiology","Acceptance to publication","14 days"
"Case Reports in Radiology","CiteScore","-"
"Case Reports in Radiology","Journal Citation Indicator","-"
"Case Reports in Radiology","Impact Factor","-"
"Case Reports in Rheumatology","APC","$750"
"Case Reports in Rheumatology","Acceptance rate","22%"
"Case Reports in Rheumatology","Submission to final decision","108 days"
"Case Reports in Rheumatology","Acceptance to publication","13 days"
"Case Reports in Rheumatology","CiteScore","-"
"Case Reports in Rheumatology","Journal Citation Indicator","0.220"
"Case Reports in Rheumatology","Impact Factor","0.6"
"Case Reports in Surgery","APC","$750"
"Case Reports in Transplantation","APC","$750"
"Case Reports in Transplantation","Acceptance rate","18%"
"Case Reports in Transplantation","Submission to final decision","114 days"
"Case Reports in Transplantation","Acceptance to publication","20 days"
"Case Reports in Transplantation","CiteScore","-"
"Case Reports in Transplantation","Journal Citation Indicator","-"
"Case Reports in Transplantation","Impact Factor","-"
"Case Reports in Urology","APC","$750"
"Case Reports in Vascular Medicine","APC","$750"
"Case Reports in Vascular Medicine","Acceptance rate","25%"
"Case Reports in Vascular Medicine","Submission to final decision","93 days"
"Case Reports in Vascular Medicine","Acceptance to publication","19 days"
"Case Reports in Vascular Medicine","CiteScore","0.700"
"Case Reports in Vascular Medicine","Journal Citation Indicator","-"
"Case Reports in Vascular Medicine","Impact Factor","-"
"Case Reports in Veterinary Medicine","APC","$750"
"Case Reports in Veterinary Medicine","Acceptance rate","23%"
"Case Reports in Veterinary Medicine","Submission to final decision","122 days"
"Case Reports in Veterinary Medicine","Acceptance to publication","22 days"
"Case Reports in Veterinary Medicine","CiteScore","8.300"
"Case Reports in Veterinary Medicine","Journal Citation Indicator","0.550"
"Case Reports in Veterinary Medicine","Impact Factor","3.4"
"Cellular Microbiology","APC","$2240"
"Cellular Microbiology","Acceptance rate","18%"
"Cellular Microbiology","Submission to final decision","90 days"
"Cellular Microbiology","Acceptance to publication","32 days"
"Cellular Microbiology","CiteScore","4.400"
